location,table_name,row_id,field_name,base_value_preview
Simulator 'The opportunity you didn't expect',simulator,1,description,No description
Simulator 'Public Speaking',simulator,2,description,No description
"Simulator 'Networking with Nerve: Assertive, Composed, Strategic, Kind'",simulator,3,description,No description
"Simulator 'AI in Your Hands: Healthy, Practical, Self-Sufficient Use'",simulator,4,description,No description
Simulator 'Recognizing Your Power',simulator,5,description,No description
Simulator 'Using Your Power Authentically',simulator,6,description,No description
Simulator 'Find your IKIGAI: Purpose discovering challenge',simulator,7,description,No description
Simulator 'Self-Care for Strong Leaders',simulator,8,description,No description
"Simulator 'Your Voice, Your Space'",simulator,9,title,"Your Voice, Your Space"
"Simulator 'Your Voice, Your Space'",simulator,9,description,No description
Simulator 'The Meeting That Changed Your Narrative',simulator,10,title,The Meeting That Changed Your Narrative
Simulator 'The Meeting That Changed Your Narrative',simulator,10,description,No description
"Module 'Strategies and Tools to Strengthen Self-Confidence' (day 13), card 6",card,75,subtitle,Which pillar will you practice first this week?
"Module 'Story of me: Rewriting your power narrative' (day 4), card 1",card,219,subtitle,Mastering the Art of Your Personal Story
"Simulator 'Networking with Nerve: Assertive, Composed, Strategic, Kind', card 2",card,248,why_this_question,This scenario tests the moment women most often lose network
"Simulator 'Your Voice, Your Space', card 1",card,279,title,The First Post
"Simulator 'Your Voice, Your Space', card 1",card,279,subtitle,Sharing yourself online
"Simulator 'Your Voice, Your Space', card 1",card,279,end_text,Digital courage begins when you stop shrinking your voice on
"Simulator 'Your Voice, Your Space', card 1",card,279,why_this_question,Many women hesitate to take up digital space because of fear
"Simulator 'Your Voice, Your Space', card 2",card,280,title,The Uncomfortable Message
"Simulator 'Your Voice, Your Space', card 2",card,280,subtitle,A boundary gets tested
"Simulator 'Your Voice, Your Space', card 2",card,280,end_text,Setting boundaries online is not rude. It is self-respect.
"Simulator 'Your Voice, Your Space', card 2",card,280,why_this_question,Women are often socially conditioned to prioritize being lik
"Simulator 'Your Voice, Your Space', card 3",card,281,title,The Comment Section
"Simulator 'Your Voice, Your Space', card 3",card,281,subtitle,Public criticism appears
"Simulator 'Your Voice, Your Space', card 3",card,281,end_text,You do not need universal approval to deserve a voice.
"Simulator 'Your Voice, Your Space', card 3",card,281,why_this_question,"Online criticism can easily trigger shame, especially for wo"
"Simulator 'Your Voice, Your Space', card 4",card,282,title,Curating Your Space
"Simulator 'Your Voice, Your Space', card 4",card,282,subtitle,You decide what access people get
"Simulator 'Your Voice, Your Space', card 4",card,282,end_text,Curating your online space is not selfish. It is healthy.
"Simulator 'Your Voice, Your Space', card 4",card,282,why_this_question,Digital wellbeing often depends on consciously choosing what
"Simulator 'Your Voice, Your Space', card 5",card,283,title,Showing Up Authentically
"Simulator 'Your Voice, Your Space', card 5",card,283,subtitle,You redefine your online presence
"Simulator 'Your Voice, Your Space', card 5",card,283,end_text,Digital courage means protecting your peace without hiding y
"Simulator 'Your Voice, Your Space', card 5",card,283,why_this_question,Women deserve online spaces where visibility and safety can 
"Simulator 'The Meeting That Changed Your Narrative', card 1",card,284,title,The Invitation
"Simulator 'The Meeting That Changed Your Narrative', card 1",card,284,subtitle,A new opportunity appears
"Simulator 'The Meeting That Changed Your Narrative', card 1",card,284,end_text,The stories we repeat internally often shape the opportuniti
"Simulator 'The Meeting That Changed Your Narrative', card 1",card,284,why_this_question,Many women internalize the idea that they must feel “fully r
"Simulator 'The Meeting That Changed Your Narrative', card 2",card,285,title,The Inner Critic
"Simulator 'The Meeting That Changed Your Narrative', card 2",card,285,subtitle,Your narrative becomes louder
"Simulator 'The Meeting That Changed Your Narrative', card 2",card,285,end_text,Awareness is the first step toward rewriting a story.
"Simulator 'The Meeting That Changed Your Narrative', card 2",card,285,why_this_question,Limiting narratives often come from isolated moments that be
"Simulator 'The Meeting That Changed Your Narrative', card 3",card,286,title,Rewriting the Story
"Simulator 'The Meeting That Changed Your Narrative', card 3",card,286,subtitle,You choose a new interpretation
"Simulator 'The Meeting That Changed Your Narrative', card 3",card,286,end_text,The meaning you attach to experiences shapes your confidence
"Simulator 'The Meeting That Changed Your Narrative', card 3",card,286,why_this_question,Empowerment does not mean avoiding feedback; it means interp
"Simulator 'The Meeting That Changed Your Narrative', card 4",card,287,title,The Meeting
"Simulator 'The Meeting That Changed Your Narrative', card 4",card,287,subtitle,Your moment arrives
"Simulator 'The Meeting That Changed Your Narrative', card 4",card,287,end_text,Assertiveness is not dominance. It is self-respect expressed
"Simulator 'The Meeting That Changed Your Narrative', card 4",card,287,why_this_question,Women are often socially conditioned to minimize themselves 
"Simulator 'The Meeting That Changed Your Narrative', card 5",card,288,title,Your New Narrative
"Simulator 'The Meeting That Changed Your Narrative', card 5",card,288,subtitle,You reflect on the experience
